Repo,App,Status,Notes,PR Link
"truvolv/dgd","dgd-main","completed","already updated (not counted toward batch)",""
"truvolv/home-pro-mi","hpmi-main-site","completed","already updated (not counted toward batch)",""
"truvolv/innovative-exteriors","main-innovative-exteriors","completed","already updated (not counted toward batch)",""
"truvolv/siding-and-windows-wizards","siding-wizards-main","completed","already updated (not counted toward batch)",""
"truvolv/jjs-custom","barndominium","completed","already updated (not counted toward batch)",""
"truvolv/jjs-custom","barndominiums-2","completed","already updated (not counted toward batch)",""
"truvolv/jjs-custom","jj-custom-builders","completed","already updated (not counted toward batch)",""
"truvolv/jjs-custom","jjs-main","completed","already updated (not counted toward batch)",""
"truvolv/trim-a-seal","micro-floor-coating","completed","already updated (not counted toward batch)",""
"truvolv/trim-a-seal","tas-micro-gutters","completed","already updated (not counted toward batch)",""
"truvolv/trim-a-seal","trim-a-seal-main","partial, needs manual update","next.config.mjs not updated",""
"truvolv/carolina-home-remodeling","chr-bathroom-micro","completed","already updated (not counted toward batch)",""
"truvolv/carolina-home-remodeling","chr-main-site","completed","already updated (not counted toward batch)",""
"truvolv/carolina-home-remodeling","chr-windows-micro","completed","already updated (not counted toward batch)",""
"truvolv/inside-out-roofing","inside-out-main","completed","already updated (not counted toward batch)",""
"truvolv/coors-remodeling","coors-main","completed","already updated (not counted toward batch)",""
"truvolv/coors-remodeling","heavenly-decks-main","completed","already updated (not counted toward batch)",""
"truvolv/pond-roofing","pond-roofing-main","completed","already updated (not counted toward batch)",""
"truvolv/frey","frey-main","partial, needs manual update","next.config.mjs not updated",""
"truvolv/frey","jjs-custom","completed","already updated (not counted toward batch)",""
"truvolv/illumination-window-door","illum-new","completed","already updated (not counted toward batch)",""
"truvolv/illumination-window-door","illumination-main","completed","already updated (not counted toward batch)",""
"truvolv/k-p-remodeling","kp-main","completed","already updated (not counted toward batch)",""
"truvolv/fba","floors-by-angie-main","completed","already updated (not counted toward batch)",""
"truvolv/solar-shield-inc","main-site-ssi","completed","already updated (not counted toward batch)",""
"truvolv/solatube","dallas-micro","completed","already updated (not counted toward batch)",""
"truvolv/solatube","los-angeles-micro","completed","already updated (not counted toward batch)",""
"truvolv/solatube","orange-county-micro","completed","already updated (not counted toward batch)",""
"truvolv/solatube","phoenix-micro","completed","already updated (not counted toward batch)",""
"truvolv/solatube","san-diego-micro","completed","already updated (not counted toward batch)",""
